Ticket_ID,Date,Equipment_Type,Location,Downtime_Hours,Failure_Type
20062,2024-12-27,Generator,Plant B,11,Mechanical Failure
20063,2024-08-11,Transformer,Plant C,16,Mechanical Failure
20064,2024-04-10,Panel,Plant A,15,Electrical Fault
20065,2024-07-22,Transformer,Plant B,6,Short Circuit
20066,2024-01-08,Compressor,Plant B,14,Electrical Fault
20067,2024-06-20,Transformer,Plant C,11,Short Circuit
20068,2024-07-26,Generator,Plant C,20,Electrical Fault
20069,2024-04-05,Panel,Plant B,10,Electrical Fault
20070,2024-06-10,Panel,Plant A,16,Short Circuit
20071,2024-10-17,Transformer,Plant C,12,Mechanical Failure
20072,2024-04-05,Generator,Plant B,7,Electrical Fault
20073,2024-11-01,Panel,Plant A,7,Short Circuit
20074,2024-05-24,Transformer,Plant C,18,Short Circuit
20075,2024-09-14,Transformer,Plant C,15,Short Circuit
20076,2024-10-26,Transformer,Plant B,6,Overheating
20077,2024-04-11,Panel,Plant C,19,Short Circuit
20078,2024-06-25,Motor,Plant B,8,Short Circuit
20079,2024-11-23,Generator,Plant C,20,Overheating
20080,2024-04-19,Compressor,Plant A,15,Overheating
20081,2024-07-16,Compressor,Plant A,4,Mechanical Failure
20082,2024-05-08,Generator,Plant C,18,Short Circuit
20083,2024-12-24,Motor,Plant B,13,Electrical Fault
20084,2024-05-16,Generator,Plant C,22,Overheating
20085,2024-01-27,Transformer,Plant B,22,Overheating
20086,2024-05-16,Generator,Plant C,1,Mechanical Failure
20087,2024-06-12,Generator,Plant A,8,Mechanical Failure
20088,2024-12-14,Panel,Plant B,19,Mechanical Failure
20089,2024-12-21,Compressor,Plant A,17,Short Circuit
20090,2024-05-10,Compressor,Plant A,10,Short Circuit
20091,2024-05-30,Transformer,Plant A,1,Short Circuit
20092,2024-09-02,Transformer,Plant C,1,Overheating
20093,2024-04-19,Panel,Plant B,21,Mechanical Failure
20094,2024-03-13,Transformer,Plant A,5,Overheating
20095,2024-10-12,Motor,Plant B,1,Electrical Fault
20096,2024-10-01,Panel,Plant B,21,Short Circuit
20097,2024-12-23,Panel,Plant A,23,Overheating
20098,2024-03-07,Generator,Plant C,21,Electrical Fault
20099,2024-02-19,Generator,Plant A,20,Overheating
20100,2024-10-30,Motor,Plant A,13,Electrical Fault
20101,2024-01-03,Panel,Plant B,9,Overheating
20102,2024-08-13,Panel,Plant C,16,Overheating
20103,2024-03-06,Generator,Plant B,8,Short Circuit
20104,2024-06-03,Compressor,Plant C,14,Overheating
20105,2024-12-27,Compressor,Plant A,17,Overheating
20106,2024-04-20,Generator,Plant C,4,Mechanical Failure
20107,2024-10-22,Transformer,Plant B,7,Overheating
20108,2024-09-12,Panel,Plant A,17,Short Circuit
20109,2024-09-30,Motor,Plant C,16,Overheating
20110,2024-06-03,Compressor,Plant C,14,Short Circuit
20111,2024-05-18,Transformer,Plant B,16,Mechanical Failure
20112,2024-06-15,Panel,Plant C,2,Short Circuit
20113,2024-01-19,Transformer,Plant A,15,Mechanical Failure
20114,2024-12-10,Panel,Plant C,11,Mechanical Failure
20115,2024-08-10,Panel,Plant B,13,Mechanical Failure
20116,2024-02-26,Generator,Plant C,4,Mechanical Failure
20117,2024-10-20,Generator,Plant A,1,Mechanical Failure
20118,2024-05-12,Motor,Plant A,15,Short Circuit
20119,2024-12-03,Motor,Plant C,12,Mechanical Failure
20120,2024-10-18,Transformer,Plant C,21,Mechanical Failure
20121,2024-12-09,Generator,Plant A,9,Mechanical Failure
20122,2024-07-23,Panel,Plant B,7,Mechanical Failure
20123,2024-04-28,Generator,Plant A,3,Mechanical Failure
20124,2024-09-09,Panel,Plant C,16,Electrical Fault
20125,2024-03-25,Generator,Plant C,4,Overheating
20126,2024-07-03,Panel,Plant B,23,Overheating
20127,2024-08-12,Transformer,Plant A,14,Mechanical Failure
20128,2024-05-27,Generator,Plant A,22,Mechanical Failure
20129,2024-10-06,Compressor,Plant B,13,Electrical Fault
20130,2024-08-14,Compressor,Plant A,20,Mechanical Failure
20131,2024-10-12,Panel,Plant B,19,Electrical Fault
20132,2024-10-10,Transformer,Plant A,2,Overheating
20133,2024-06-29,Panel,Plant B,10,Short Circuit
20134,2024-04-18,Transformer,Plant B,19,Overheating
20135,2024-05-14,Motor,Plant B,15,Short Circuit
20136,2024-10-17,Generator,Plant C,7,Short Circuit
20137,2024-10-16,Transformer,Plant C,15,Short Circuit
20138,2024-04-12,Panel,Plant C,17,Mechanical Failure
20139,2024-07-19,Motor,Plant A,16,Electrical Fault
20140,2024-04-26,Panel,Plant B,17,Short Circuit
20141,2024-11-27,Compressor,Plant A,16,Electrical Fault
20142,2024-11-05,Compressor,Plant A,18,Overheating
20143,2024-01-29,Generator,Plant B,17,Short Circuit
20144,2024-01-27,Generator,Plant C,4,Overheating
20145,2024-01-13,Motor,Plant A,2,Electrical Fault
20146,2024-02-11,Compressor,Plant A,17,Electrical Fault
20147,2024-08-11,Transformer,Plant A,17,Overheating
20148,2024-01-21,Compressor,Plant C,2,Electrical Fault
20149,2024-05-15,Generator,Plant B,22,Overheating
20150,2024-11-21,Panel,Plant B,2,Electrical Fault
20151,2024-08-08,Motor,Plant A,15,Mechanical Failure
20152,2024-05-24,Compressor,Plant B,16,Overheating
20153,2024-01-10,Transformer,Plant C,11,Short Circuit
20154,2024-08-12,Transformer,Plant B,2,Short Circuit
20155,2024-05-20,Transformer,Plant A,8,Short Circuit
20156,2024-04-15,Motor,Plant A,21,Electrical Fault
20157,2024-09-24,Transformer,Plant B,12,Overheating
20158,2024-07-12,Transformer,Plant A,14,Electrical Fault
20159,2024-05-07,Compressor,Plant C,14,Short Circuit
20160,2024-07-31,Motor,Plant C,12,Mechanical Failure
20161,2024-05-30,Panel,Plant C,2,Short Circuit
20162,2024-06-28,Panel,Plant C,14,Short Circuit
20163,2024-11-12,Transformer,Plant A,23,Short Circuit
20164,2024-01-26,Generator,Plant A,12,Mechanical Failure
20165,2024-01-15,Motor,Plant B,9,Mechanical Failure
20166,2024-01-22,Generator,Plant A,8,Overheating
20167,2024-12-10,Motor,Plant B,20,Mechanical Failure
20168,2024-03-05,Motor,Plant A,16,Overheating
20169,2024-09-07,Compressor,Plant B,10,Mechanical Failure
20170,2024-01-21,Transformer,Plant B,7,Overheating
20171,2024-08-20,Compressor,Plant C,15,Short Circuit
20172,2024-01-16,Generator,Plant B,9,Mechanical Failure
20173,2024-09-28,Generator,Plant B,4,Electrical Fault
20174,2024-07-23,Panel,Plant B,23,Electrical Fault
20175,2024-10-24,Compressor,Plant B,6,Overheating
20176,2024-06-08,Compressor,Plant B,12,Mechanical Failure
20177,2024-02-10,Compressor,Plant C,15,Mechanical Failure
20178,2024-04-17,Panel,Plant B,19,Electrical Fault
20179,2024-05-04,Compressor,Plant B,22,Mechanical Failure
20180,2024-05-31,Compressor,Plant B,2,Mechanical Failure
20181,2024-01-13,Compressor,Plant A,19,Overheating
20182,2024-07-21,Compressor,Plant A,20,Short Circuit
20183,2024-03-19,Generator,Plant C,20,Electrical Fault
20184,2024-02-11,Transformer,Plant B,2,Short Circuit
20185,2024-06-17,Generator,Plant B,15,Mechanical Failure
20186,2024-09-05,Compressor,Plant A,12,Mechanical Failure
20187,2024-04-30,Motor,Plant B,1,Overheating
20188,2024-09-28,Motor,Plant C,23,Short Circuit
20189,2024-10-26,Panel,Plant B,14,Short Circuit
20190,2024-07-27,Generator,Plant C,4,Overheating
20191,2024-06-06,Panel,Plant A,22,Short Circuit
20192,2024-04-30,Panel,Plant C,11,Overheating
20193,2024-08-14,Motor,Plant C,7,Overheating
20194,2024-01-24,Generator,Plant C,13,Mechanical Failure
20195,2024-08-17,Transformer,Plant C,14,Mechanical Failure
20196,2024-01-26,Generator,Plant C,7,Mechanical Failure
20197,2024-02-27,Panel,Plant C,22,Overheating
20198,2024-09-21,Compressor,Plant C,11,Mechanical Failure
20199,2024-05-05,Panel,Plant C,20,Electrical Fault
20200,2024-10-01,Generator,Plant C,20,Electrical Fault
20201,2024-01-28,Motor,Plant A,11,Mechanical Failure
20202,2024-10-27,Generator,Plant C,21,Overheating
20203,2024-05-07,Transformer,Plant C,9,Electrical Fault
20204,2024-04-03,Compressor,Plant B,4,Mechanical Failure
20205,2024-07-09,Compressor,Plant B,2,Electrical Fault
20206,2024-09-28,Panel,Plant B,2,Electrical Fault
20207,2024-01-05,Generator,Plant C,9,Electrical Fault
20208,2024-06-05,Motor,Plant A,19,Short Circuit
20209,2024-02-21,Transformer,Plant A,15,Electrical Fault
20210,2024-08-30,Panel,Plant B,21,Mechanical Failure
20211,2024-05-30,Generator,Plant B,21,Electrical Fault
20212,2024-09-18,Motor,Plant C,18,Mechanical Failure
20213,2024-10-31,Generator,Plant A,16,Electrical Fault
20214,2024-03-20,Motor,Plant A,2,Electrical Fault
20215,2024-07-01,Generator,Plant B,12,Short Circuit
20216,2024-12-19,Generator,Plant A,1,Electrical Fault
20217,2024-04-16,Panel,Plant B,2,Mechanical Failure
20218,2024-06-02,Generator,Plant B,14,Short Circuit
20219,2024-10-19,Generator,Plant C,7,Short Circuit
20220,2024-07-23,Panel,Plant B,17,Electrical Fault
20221,2024-04-25,Panel,Plant C,15,Electrical Fault
20222,2024-01-17,Compressor,Plant A,17,Overheating
20223,2024-10-14,Compressor,Plant A,9,Electrical Fault
20224,2024-06-04,Panel,Plant B,13,Overheating
20225,2024-01-25,Transformer,Plant B,2,Mechanical Failure
20226,2024-10-04,Motor,Plant C,15,Electrical Fault
20227,2024-11-12,Panel,Plant C,20,Electrical Fault
20228,2024-05-05,Compressor,Plant A,11,Overheating
20229,2024-10-26,Generator,Plant A,19,Overheating
20230,2024-12-23,Panel,Plant B,14,Short Circuit
20231,2024-10-02,Panel,Plant B,4,Short Circuit
20232,2024-12-30,Compressor,Plant C,11,Electrical Fault
20233,2024-06-26,Compressor,Plant B,16,Mechanical Failure
20234,2024-12-09,Transformer,Plant C,23,Short Circuit
20235,2024-02-16,Compressor,Plant A,2,Short Circuit
20236,2024-07-18,Compressor,Plant A,2,Short Circuit
20237,2024-02-20,Compressor,Plant B,9,Overheating
20238,2024-10-21,Generator,Plant C,22,Electrical Fault
20239,2024-09-26,Panel,Plant B,23,Overheating
20240,2024-07-15,Panel,Plant B,21,Mechanical Failure
20241,2024-01-21,Compressor,Plant C,21,Overheating
20242,2024-05-22,Transformer,Plant B,4,Electrical Fault
20243,2024-09-04,Compressor,Plant C,8,Overheating
20244,2024-12-21,Transformer,Plant C,23,Mechanical Failure
20245,2024-12-18,Panel,Plant B,18,Electrical Fault
20246,2024-01-01,Transformer,Plant C,15,Electrical Fault
20247,2024-12-30,Transformer,Plant A,2,Electrical Fault
20248,2024-12-03,Motor,Plant A,22,Electrical Fault
20249,2024-09-30,Transformer,Plant A,11,Mechanical Failure
20250,2024-08-28,Transformer,Plant A,17,Electrical Fault
20251,2024-02-27,Generator,Plant B,7,Mechanical Failure
20252,2024-05-05,Panel,Plant A,8,Mechanical Failure
20253,2024-11-24,Compressor,Plant A,10,Overheating
20254,2024-12-31,Motor,Plant A,3,Overheating
20255,2024-02-21,Transformer,Plant A,13,Electrical Fault
20256,2024-08-10,Generator,Plant B,23,Short Circuit
20257,2024-10-28,Generator,Plant A,17,Short Circuit
20258,2024-12-28,Compressor,Plant C,13,Electrical Fault
20259,2024-09-25,Compressor,Plant C,19,Mechanical Failure
20260,2024-04-05,Panel,Plant B,22,Overheating
20261,2024-09-29,Transformer,Plant B,9,Electrical Fault
20262,2024-11-18,Generator,Plant B,21,Electrical Fault
20263,2024-03-01,Motor,Plant A,16,Mechanical Failure
20264,2024-11-16,Panel,Plant B,5,Overheating
20265,2024-06-29,Transformer,Plant A,9,Short Circuit
20266,2024-05-12,Compressor,Plant B,9,Short Circuit
20267,2024-03-29,Transformer,Plant C,6,Electrical Fault
20268,2024-06-21,Compressor,Plant C,21,Electrical Fault
20269,2024-11-07,Transformer,Plant A,10,Electrical Fault
20270,2024-01-05,Motor,Plant B,18,Electrical Fault
20271,2024-12-22,Panel,Plant C,11,Electrical Fault
20272,2024-12-08,Compressor,Plant A,15,Short Circuit
20273,2024-07-22,Motor,Plant C,7,Electrical Fault
20274,2024-06-10,Generator,Plant B,14,Overheating
20275,2024-03-01,Motor,Plant A,8,Mechanical Failure
20276,2024-07-08,Motor,Plant C,19,Short Circuit
20277,2024-11-20,Motor,Plant B,15,Mechanical Failure
20278,2024-03-03,Compressor,Plant A,19,Mechanical Failure
20279,2024-02-13,Generator,Plant C,18,Electrical Fault
20280,2024-08-26,Panel,Plant C,17,Mechanical Failure
20281,2024-01-28,Motor,Plant A,3,Overheating
20282,2024-07-16,Compressor,Plant B,3,Electrical Fault
20283,2024-09-25,Compressor,Plant A,7,Short Circuit
20284,2024-06-19,Panel,Plant C,10,Overheating
20285,2024-01-30,Transformer,Plant C,17,Short Circuit
20286,2024-06-02,Generator,Plant C,15,Electrical Fault
20287,2024-07-27,Generator,Plant B,8,Electrical Fault
20288,2024-03-03,Motor,Plant C,17,Short Circuit
20289,2024-11-24,Transformer,Plant C,3,Mechanical Failure
20290,2024-02-26,Generator,Plant A,4,Short Circuit
20291,2024-11-15,Motor,Plant C,8,Overheating
20292,2024-07-26,Transformer,Plant A,13,Mechanical Failure
20293,2024-11-03,Compressor,Plant C,1,Electrical Fault
20294,2024-03-03,Motor,Plant A,18,Overheating
20295,2024-09-04,Transformer,Plant A,11,Overheating
20296,2024-05-20,Panel,Plant A,21,Electrical Fault
20297,2024-04-02,Generator,Plant A,6,Mechanical Failure
20298,2024-04-16,Motor,Plant B,16,Electrical Fault
20299,2024-12-30,Compressor,Plant C,21,Overheating
20300,2024-03-28,Motor,Plant B,19,Overheating
20301,2024-10-27,Generator,Plant C,23,Overheating
20302,2024-04-17,Generator,Plant A,17,Electrical Fault
20303,2024-02-15,Transformer,Plant C,18,Short Circuit
20304,2024-03-17,Compressor,Plant A,11,Overheating
20305,2024-08-04,Transformer,Plant C,14,Overheating
20306,2024-06-17,Compressor,Plant A,12,Mechanical Failure
20307,2024-10-28,Motor,Plant C,20,Short Circuit
20308,2024-05-08,Motor,Plant C,7,Mechanical Failure
20309,2024-07-19,Transformer,Plant C,17,Overheating
20310,2024-07-14,Panel,Plant A,5,Short Circuit
20311,2024-12-13,Generator,Plant C,22,Mechanical Failure
20312,2024-09-24,Transformer,Plant A,14,Electrical Fault
20313,2024-03-28,Transformer,Plant B,13,Mechanical Failure
20314,2024-09-09,Motor,Plant C,12,Short Circuit
20315,2024-08-25,Generator,Plant A,14,Mechanical Failure
20316,2024-03-13,Transformer,Plant A,9,Short Circuit
20317,2024-12-23,Motor,Plant A,4,Short Circuit
20318,2024-12-20,Motor,Plant B,22,Mechanical Failure
20319,2024-06-09,Transformer,Plant A,19,Mechanical Failure
20320,2024-02-27,Transformer,Plant B,1,Electrical Fault
20321,2024-10-17,Motor,Plant B,13,Mechanical Failure
20322,2024-12-05,Transformer,Plant A,6,Short Circuit
20323,2024-03-06,Generator,Plant C,1,Overheating
20324,2024-01-26,Motor,Plant B,22,Mechanical Failure
20325,2024-10-24,Motor,Plant A,17,Mechanical Failure
20326,2024-03-17,Transformer,Plant B,3,Short Circuit
20327,2024-10-12,Transformer,Plant A,17,Overheating
20328,2024-02-05,Transformer,Plant A,2,Electrical Fault
20329,2024-01-19,Generator,Plant B,22,Overheating
20330,2024-10-04,Motor,Plant A,7,Short Circuit
20331,2024-11-16,Panel,Plant B,1,Short Circuit
20332,2024-11-08,Generator,Plant A,21,Short Circuit
20333,2024-09-23,Generator,Plant C,22,Short Circuit
20334,2024-10-08,Motor,Plant C,15,Overheating
20335,2024-01-19,Panel,Plant B,4,Overheating
20336,2024-12-04,Motor,Plant B,6,Overheating
20337,2024-05-19,Generator,Plant B,21,Mechanical Failure
20338,2024-03-07,Transformer,Plant B,13,Short Circuit
20339,2024-11-07,Motor,Plant C,23,Mechanical Failure
20340,2024-01-18,Motor,Plant B,13,Mechanical Failure
20341,2024-09-17,Transformer,Plant A,20,Mechanical Failure
20342,2024-04-21,Panel,Plant A,1,Electrical Fault
20343,2024-04-24,Panel,Plant B,2,Mechanical Failure
20344,2024-06-14,Motor,Plant A,6,Short Circuit
20345,2024-03-07,Transformer,Plant B,11,Mechanical Failure
20346,2024-09-11,Motor,Plant A,18,Short Circuit
20347,2024-03-10,Transformer,Plant A,13,Electrical Fault
20348,2024-11-03,Generator,Plant B,21,Overheating
20349,2024-07-21,Transformer,Plant B,12,Short Circuit
20350,2024-05-06,Motor,Plant C,20,Mechanical Failure
20351,2024-11-16,Compressor,Plant B,7,Short Circuit
20352,2024-03-20,Panel,Plant C,20,Mechanical Failure
20353,2024-06-24,Motor,Plant B,7,Overheating
20354,2024-04-22,Transformer,Plant A,7,Short Circuit
20355,2024-04-20,Transformer,Plant C,2,Mechanical Failure
20356,2024-11-04,Panel,Plant A,11,Short Circuit
20357,2024-05-16,Motor,Plant B,1,Overheating
20358,2024-05-12,Compressor,Plant B,21,Overheating
20359,2024-11-23,Generator,Plant B,13,Overheating
20360,2024-07-07,Compressor,Plant B,12,Short Circuit
20361,2024-10-03,Generator,Plant C,13,Short Circuit
20362,2024-08-12,Generator,Plant C,7,Mechanical Failure
20363,2024-04-12,Motor,Plant B,12,Overheating
20364,2024-04-16,Generator,Plant A,17,Mechanical Failure
20365,2024-03-03,Transformer,Plant C,8,Short Circuit
20366,2024-09-01,Generator,Plant A,3,Electrical Fault
20367,2024-06-21,Generator,Plant B,7,Overheating
20368,2024-11-28,Panel,Plant C,19,Mechanical Failure
20369,2024-11-26,Panel,Plant C,20,Overheating
20370,2024-07-28,Motor,Plant C,8,Mechanical Failure
20371,2024-07-09,Motor,Plant A,14,Mechanical Failure
20372,2024-06-06,Transformer,Plant B,14,Electrical Fault
20373,2024-11-14,Panel,Plant B,2,Short Circuit
20374,2024-08-12,Compressor,Plant C,6,Overheating
20375,2024-06-20,Motor,Plant C,16,Short Circuit
20376,2024-11-18,Motor,Plant B,9,Mechanical Failure
20377,2024-02-05,Panel,Plant A,21,Short Circuit
20378,2024-05-13,Panel,Plant C,15,Electrical Fault
20379,2024-02-06,Transformer,Plant A,19,Short Circuit
20380,2024-04-02,Panel,Plant A,15,Mechanical Failure
20381,2024-03-15,Generator,Plant B,22,Mechanical Failure
20382,2024-08-31,Compressor,Plant B,12,Electrical Fault
20383,2024-07-01,Generator,Plant A,9,Overheating
20384,2024-07-23,Generator,Plant A,16,Electrical Fault
20385,2024-07-05,Generator,Plant B,6,Overheating
20386,2024-06-14,Motor,Plant C,20,Mechanical Failure
20387,2024-04-24,Generator,Plant A,15,Short Circuit
20388,2024-07-25,Motor,Plant C,13,Mechanical Failure
20389,2024-09-01,Panel,Plant A,21,Electrical Fault
20390,2024-11-28,Compressor,Plant B,23,Electrical Fault
20391,2024-06-09,Compressor,Plant C,10,Short Circuit
20392,2024-01-13,Generator,Plant B,14,Electrical Fault
20393,2024-10-20,Compressor,Plant A,3,Mechanical Failure
20394,2024-08-23,Motor,Plant B,12,Short Circuit
20395,2024-09-29,Panel,Plant C,1,Overheating
20396,2024-04-23,Generator,Plant B,21,Electrical Fault
20397,2024-05-31,Transformer,Plant C,16,Overheating
20398,2024-01-26,Compressor,Plant B,10,Short Circuit
20399,2024-06-16,Compressor,Plant B,9,Electrical Fault
20400,2024-02-01,Generator,Plant C,18,Short Circuit
20401,2024-08-08,Compressor,Plant C,1,Electrical Fault
20402,2024-07-24,Compressor,Plant C,10,Electrical Fault
20403,2024-12-07,Transformer,Plant A,7,Electrical Fault
20404,2024-04-07,Motor,Plant B,10,Short Circuit
20405,2024-03-31,Generator,Plant C,12,Short Circuit
20406,2024-08-01,Generator,Plant A,11,Mechanical Failure
20407,2024-07-06,Transformer,Plant A,9,Mechanical Failure
20408,2024-02-26,Transformer,Plant C,5,Short Circuit
20409,2024-04-16,Motor,Plant C,4,Short Circuit
20410,2024-07-13,Panel,Plant C,20,Electrical Fault
20411,2024-01-22,Generator,Plant A,13,Mechanical Failure
20412,2024-07-04,Compressor,Plant A,8,Mechanical Failure
20413,2024-03-25,Motor,Plant B,16,Short Circuit
20414,2024-03-20,Generator,Plant A,1,Mechanical Failure
20415,2024-11-24,Motor,Plant C,17,Short Circuit
20416,2024-03-17,Panel,Plant B,15,Mechanical Failure
20417,2024-11-25,Generator,Plant B,15,Overheating
20418,2024-12-06,Compressor,Plant B,18,Overheating
20419,2024-06-25,Generator,Plant B,6,Mechanical Failure
20420,2024-06-22,Motor,Plant C,2,Short Circuit
20421,2024-03-22,Panel,Plant B,5,Overheating
20422,2024-01-21,Motor,Plant C,19,Electrical Fault
20423,2024-06-27,Motor,Plant A,7,Short Circuit
20424,2024-11-25,Transformer,Plant C,9,Overheating
20425,2024-08-12,Motor,Plant B,2,Electrical Fault
20426,2024-09-21,Panel,Plant A,7,Overheating
20427,2024-09-25,Compressor,Plant A,14,Overheating
20428,2024-09-07,Transformer,Plant A,23,Electrical Fault
20429,2024-09-29,Motor,Plant B,15,Electrical Fault
20430,2024-12-08,Generator,Plant C,12,Mechanical Failure
20431,2024-09-28,Transformer,Plant C,20,Overheating
20432,2024-10-06,Panel,Plant B,4,Electrical Fault
20433,2024-08-10,Generator,Plant B,13,Mechanical Failure
20434,2024-03-15,Panel,Plant A,9,Electrical Fault
20435,2024-05-30,Generator,Plant C,12,Mechanical Failure
20436,2024-12-24,Compressor,Plant B,10,Mechanical Failure
20437,2024-12-07,Panel,Plant B,9,Electrical Fault
20438,2024-04-14,Generator,Plant C,21,Electrical Fault
20439,2024-02-11,Panel,Plant A,23,Overheating
20440,2024-06-24,Transformer,Plant A,7,Overheating
20441,2024-09-01,Panel,Plant A,12,Mechanical Failure
20442,2024-09-09,Panel,Plant C,16,Electrical Fault
20443,2024-09-30,Generator,Plant B,15,Overheating
20444,2024-11-29,Panel,Plant B,7,Mechanical Failure
20445,2024-04-01,Compressor,Plant B,8,Overheating
20446,2024-01-11,Motor,Plant B,7,Mechanical Failure
20447,2024-05-31,Transformer,Plant C,11,Overheating
20448,2024-07-07,Generator,Plant A,4,Electrical Fault
20449,2024-06-12,Panel,Plant A,18,Short Circuit
20450,2024-05-05,Panel,Plant A,19,Short Circuit
20451,2024-07-29,Panel,Plant A,7,Mechanical Failure
20452,2024-04-06,Transformer,Plant B,13,Short Circuit
20453,2024-11-04,Motor,Plant B,9,Short Circuit
20454,2024-12-04,Compressor,Plant C,18,Mechanical Failure
20455,2024-02-16,Compressor,Plant A,7,Short Circuit
20456,2024-11-03,Generator,Plant B,20,Overheating
20457,2024-08-11,Motor,Plant B,16,Overheating
20458,2024-02-26,Motor,Plant B,23,Overheating
20459,2024-03-15,Transformer,Plant A,5,Electrical Fault
20460,2024-09-10,Panel,Plant B,7,Overheating
20461,2024-05-30,Motor,Plant A,6,Short Circuit
20462,2024-02-28,Panel,Plant A,2,Short Circuit
20463,2024-11-20,Transformer,Plant C,7,Overheating
20464,2024-03-26,Generator,Plant C,21,Electrical Fault
20465,2024-06-18,Generator,Plant A,9,Overheating
20466,2024-05-25,Panel,Plant A,13,Electrical Fault
20467,2024-11-22,Panel,Plant A,17,Electrical Fault
20468,2024-02-02,Motor,Plant B,17,Overheating
20469,2024-01-03,Transformer,Plant B,15,Electrical Fault
20470,2024-10-10,Generator,Plant B,18,Short Circuit
20471,2024-09-13,Motor,Plant C,15,Overheating
20472,2024-05-05,Compressor,Plant A,11,Short Circuit
20473,2024-04-22,Motor,Plant B,12,Electrical Fault
20474,2024-10-29,Panel,Plant B,23,Mechanical Failure
20475,2024-10-19,Compressor,Plant C,17,Overheating
20476,2024-12-07,Motor,Plant C,12,Mechanical Failure
20477,2024-02-17,Transformer,Plant A,7,Mechanical Failure
20478,2024-12-29,Generator,Plant A,7,Mechanical Failure
20479,2024-10-01,Compressor,Plant B,21,Mechanical Failure
20480,2024-07-13,Transformer,Plant B,23,Short Circuit
20481,2024-12-04,Motor,Plant B,10,Overheating
20482,2024-08-12,Panel,Plant B,16,Short Circuit
20483,2024-07-31,Panel,Plant B,11,Electrical Fault
20484,2024-11-16,Transformer,Plant C,16,Overheating
20485,2024-10-08,Panel,Plant A,2,Overheating
20486,2024-05-17,Generator,Plant C,2,Short Circuit
